"Date";"Value";"Country"
2018-12-31;4715.44456455;"Iran"
2017-12-31;5023.74968329;"Iran"
2016-12-31;4586.09355137;"Iran"
2015-12-31;3852.75988493;"Iran"
2014-12-31;3714.13712329;"Iran"
2013-12-31;3609.22986301;"Iran"
2012-12-31;3809.75614754;"Iran"
2011-12-31;4452.40410959;"Iran"
2010-12-31;4420.62047945;"Iran"
2009-12-31;4284.86460274;"Iran"
2008-12-31;4414.97814197;"Iran"
2007-12-31;4355.96260286;"Iran"
2006-12-31;4291.0080823;"Iran"
2005-12-31;4217.4654794;"Iran"
2004-12-31;4215.80273262;"Iran"
2003-12-31;4083.60657574;"Iran"
2002-12-31;3616.92054786;"Iran"
2001-12-31;3824.44999952;"Iran"
2000-12-31;3850.40329411;"Iran"
1999-12-31;3603.35616438;"Iran"
1998-12-31;3854.74794521;"Iran"
1997-12-31;3776.4630137;"Iran"
1996-12-31;3758.57923497;"Iran"
1995-12-31;3743.77424658;"Iran"
1994-12-31;3730.02739726;"Iran"
1993-12-31;3712.16438356;"Iran"
1992-12-31;3523.01639344;"Iran"
1991-12-31;3499.56164384;"Iran"
1990-12-31;3270.17808219;"Iran"
1989-12-31;2894.34191781;"Iran"
1988-12-31;2349.48087432;"Iran"
1987-12-31;2342.43835616;"Iran"
1986-12-31;2054.23835616;"Iran"
1985-12-31;2205.20547945;"Iran"
1984-12-31;2042.53551913;"Iran"
1983-12-31;2453.58465753;"Iran"
1982-12-31;2396.92438356;"Iran"
1981-12-31;1321.03123288;"Iran"
1980-12-31;1478.96174863;"Iran"
1979-12-31;3217.5890411;"Iran"
1978-12-31;5302.05479452;"Iran"
1977-12-31;5713.95890411;"Iran"
1976-12-31;5918.19125683;"Iran"
1975-12-31;5386.61917808;"Iran"
1974-12-31;6060.30136986;"Iran"
1973-12-31;5907.37589041;"Iran"
1972-12-31;5058.95737705;"Iran"
1971-12-31;4572.42191781;"Iran"
1970-12-31;3847.65972603;"Iran"
1969-12-31;3376;"Iran"
1968-12-31;2840;"Iran"
1967-12-31;2603;"Iran"
1966-12-31;2132;"Iran"
1965-12-31;1908;"Iran"
