label;ts;cpu;temp
mail;2020-10-08 21:43:25.423308;17.2;52.095
mail;2020-10-08 21:43:26.425490;11.6;52.095
mail;2020-10-08 21:43:27.427729;30.9;53.069
mail;2020-10-08 21:43:28.429596;24.9;53.069
mail;2020-10-08 21:43:29.431659;36.3;53.069
mail;2020-10-08 21:43:30.433527;48.5;53.069
mail;2020-10-08 21:43:31.435437;55.9;53.069
mail;2020-10-08 21:43:32.437465;19.4;52.582
mail;2020-10-08 21:43:33.439609;14.5;54.043
mail;2020-10-08 21:43:34.441451;1.8;52.582
mail;2020-10-08 21:43:35.443581;15.4;52.582
mail;2020-10-08 21:43:36.445499;13.4;53.069
mail;2020-10-08 21:43:37.447517;18.0;53.069
mail;2020-10-08 21:43:38.449714;37.4;52.582
mail;2020-10-08 21:43:39.451871;18.9;52.095
mail;2020-10-08 21:43:40.453819;1.8;52.095
mail;2020-10-08 21:43:41.455766;16.1;53.069
mail;2020-10-08 21:43:42.457515;7.0;52.582
mail;2020-10-08 21:43:43.459584;0.8;52.095
mail;2020-10-08 21:43:44.461622;28.5;51.608
mail;2020-10-08 21:43:45.463703;0.5;51.608
mail;2020-10-08 21:43:46.465572;2.8;52.582
mail;2020-10-08 21:43:47.467313;2.0;50.634
mail;2020-10-08 21:43:48.469345;12.7;52.582
mail;2020-10-08 21:43:49.471343;30.7;51.608
mail;2020-10-08 21:43:50.472836;1.3;52.095
mail;2020-10-08 21:43:51.474807;33.1;52.582
mail;2020-10-08 21:43:52.478258;11.0;52.095
mail;2020-10-08 21:43:53.480164;11.1;53.069
mail;2020-10-08 21:43:54.482165;1.0;51.608
mail;2020-10-08 21:43:55.484009;12.5;51.121
mail;2020-10-08 21:43:56.485915;2.5;52.095
mail;2020-10-08 21:43:57.487632;13.6;52.095
mail;2020-10-08 21:43:58.489659;1.5;52.095
mail;2020-10-08 21:43:59.491977;9.8;52.582
mail;2020-10-08 21:44:00.496318;13.7;52.095
mail;2020-10-08 21:44:01.497562;17.8;51.121
mail;2020-10-08 21:44:02.499634;14.5;51.121
mail;2020-10-08 21:44:03.500833;3.0;51.608
mail;2020-10-08 21:44:04.502969;19.3;51.608
mail;2020-10-08 21:44:05.505066;18.4;52.095
mail;2020-10-08 21:44:06.506936;20.3;52.095
mail;2020-10-08 21:44:07.508931;17.2;51.608
mail;2020-10-08 21:44:08.510853;3.5;52.582
mail;2020-10-08 21:44:09.512731;31.8;52.095
mail;2020-10-08 21:44:10.514693;5.5;52.582
mail;2020-10-08 21:44:11.516881;3.5;52.095
mail;2020-10-08 21:44:12.518709;30.8;51.608
mail;2020-10-08 21:44:13.520672;87.3;53.556
mail;2020-10-08 21:44:14.522679;43.7;53.069
mail;2020-10-08 21:44:15.524654;19.0;54.043
mail;2020-10-08 21:44:16.525925;35.8;53.069
mail;2020-10-08 21:44:17.529655;22.2;51.608
mail;2020-10-08 21:44:18.531840;14.5;52.582
mail;2020-10-08 21:44:19.533904;39.4;53.556
mail;2020-10-08 21:44:20.536597;46.1;52.582
mail;2020-10-08 21:44:21.541869;27.7;52.095
mail;2020-10-08 21:44:22.546436;25.4;52.095
mail;2020-10-08 21:44:23.548669;3.3;52.582
mail;2020-10-08 21:44:24.550535;26.5;53.069
mail;2020-10-08 21:44:25.552414;42.9;53.069
mail;2020-10-08 21:44:26.554245;29.9;51.608
mail;2020-10-08 21:44:27.556111;24.7;52.582
mail;2020-10-08 21:44:28.557875;23.3;53.556
mail;2020-10-08 21:44:29.560109;32.5;53.556
mail;2020-10-08 21:44:30.561844;43.9;53.069
mail;2020-10-08 21:44:31.564191;33.6;53.069
mail;2020-10-08 21:44:32.566303;37.2;53.069
mail;2020-10-08 21:44:33.568477;24.9;53.069
mail;2020-10-08 21:44:34.570498;16.8;52.095
mail;2020-10-08 21:44:35.572702;53.6;53.556
mail;2020-10-08 21:44:36.573812;36.0;52.095
mail;2020-10-08 21:44:37.575777;19.4;52.582
mail;2020-10-08 21:44:38.577822;60.8;53.556
mail;2020-10-08 21:44:39.581699;27.2;53.069
mail;2020-10-08 21:44:40.584358;37.7;52.095
mail;2020-10-08 21:44:41.586575;13.6;52.582
mail;2020-10-08 21:44:42.588632;7.1;52.582
mail;2020-10-08 21:44:43.590814;8.8;52.582
mail;2020-10-08 21:44:44.593019;43.4;52.095
mail;2020-10-08 21:44:45.595330;18.0;52.582
mail;2020-10-08 21:44:46.597556;14.7;52.582
mail;2020-10-08 21:44:47.599782;12.7;52.095
mail;2020-10-08 21:44:48.601988;14.2;51.608
mail;2020-10-08 21:44:49.604143;14.0;52.095
mail;2020-10-08 21:44:50.606499;13.6;53.069
mail;2020-10-08 21:44:51.608410;16.3;52.095
mail;2020-10-08 21:44:52.611041;12.4;52.582
mail;2020-10-08 21:44:53.613414;12.8;52.582
